"Region_number","Region","W-Median-2016","I-Gini-2016","W-Median-2018","I-Gini-2018","W-Median-2021","I-Gini-2021","I-S8020-2016","I-P9010-2016","I-P9050-2016","I-P5010-2016","I-Palma-2016","I-S8020-2018","I-P9010-2018","I-P9050-2018","I-P5010-2018","I-Palma-2018","I-S8020-2021","I-P9010-2021","I-P9050-2021","I-P5010-2021","I-Palma-2021","GHG-Energy-2016","GHG-Industry-2016","GHG-Residential-2016","GHG-Tertiary-2016","GHG-Waste-2016","GHG-Road-2016","GHG-Other_Transp.-2016","GHG-Int._Transp.-2016","GHG-Agriculture-2016","GHG-Total-2016","GHG-Energy-2018","GHG-Industry-2018","GHG-Residential-2018","GHG-Tertiary-2018","GHG-Waste-2018","GHG-Road-2018","GHG-Other_Transp.-2018","GHG-Int._Transp.-2018","GHG-Agriculture-2018","GHG-Total-2018","GHG-Energy-2021","GHG-Industry-2021","GHG-Residential-2021","GHG-Tertiary-2021","GHG-Waste-2021","GHG-Road-2021","GHG-Other_Transp.-2021","GHG-Int._Transp.-2021","GHG-Agriculture-2021","GHG-Total-2021"
"01004","Ambérieu-en-Bugey",19721,0.2659014546,20420,0.289,21660,0.28,2.12870119437796,3.23996227968814,1.71799379116452,1.88589871299358,1.91841883406943,2.15441176470588,3.19043321299639,1.73114593535749,1.84296028880866,1.93380743982495,2.08948087431694,3.06560134566863,1.68282548476454,1.82169890664424,1.8827479338843,0.087736184720721,0.407499126398087,1.07314447435199,0.751165100681798,0.420762605105212,1.17086353412683,0.0127231428064261,0,0.026853030067207,3.95074719825827,0.0760710246809919,0.290639678884777,0.990179061989955,0.722782767073639,0.0162732091129732,1.13520030329713,0.00979640514038719,0,0.0262497332520355,3.26719218343189,0.0225821025742751,0.328843584615317,1.30308745387165,0.679629217750823,0.0052594279105958,0.554019839677208,0.00860296708579821,0,0.0210417932739277,2.92306638675959
"01007","Ambronay",22146.4516129032,0.2128891177,23160,0.207,24860,0.213,1.79822718450487,2.50339016338249,1.57654071265995,1.58790073943524,1.70043469185883,1.80236686390533,2.42758142758143,1.51252158894646,1.60498960498961,1.65391879131256,1.86997245179063,2.60118655240606,1.58728881737731,1.63876071193144,1.75222024866785,0.0680083036094778,0.0354766520150409,0.713868132938449,0.352668808106274,2.5428658369641,8.21961710492272,0.0415516248094486,0,1.79990575211581,13.7739622154813,0.057780494609673,0.252010416922926,0.645813514716563,0.360695114043583,0.0155975153134259,7.81732290447297,0.0311538607356345,0,1.70153710558527,10.8819109264,0.0071041557000695,0.224448184799858,0.962008716190111,0.36176988665895,0.0381391013472636,5.472748746864,0.0279042916801683,0,1.06343073663688,8.15755381987729
"01014","Arbent",20158,0.2978143146,21310,0.332,22410,0.279,1.97652694610778,2.96227999973544,1.7633552081414,1.67991110699569,1.95425429793176,1.90850927703135,2.8306389530408,1.7254809948381,1.64049268668206,1.91910229645094,1.96399241945673,3.0312744331509,1.73003123605533,1.75215011727912,1.90703393999016,0.772723862039179,3.89822467890947,1.46346525163051,0.542337689479809,0.0141682767273542,3.98173029567978,0.045911360397439,0,0.0147506379498176,10.7333120528134,0.680468851033155,2.83400961528048,1.0664088463721,0.750523481508366,0.0152286520268784,3.90573689930631,0.0437697370464807,0,0.0140315567408408,9.31017763931461,0,2.85309786549704,1.2903173996001,0.680905565502473,0,1.96469468140372,0.0395441644467314,0,0.0388435330435468,6.86740320949362
"01024","Attignat",21977.1428571429,0.2083688165,22910,0.212,24460,0.212,1.71747420175514,2.42518685657876,1.56498959958398,1.54965046235671,1.69092607463005,1.70262557077626,2.36707152496626,1.5312090790048,1.54588394062078,1.66098484848485,1.71912568306011,2.46339869281046,1.5408830744072,1.59869281045752,1.66108417805201,0.170698641729087,0.845917383719775,0.842767141329809,0.404322094169192,0.0141682767273542,3.99689981468426,0,0,0.982494172539397,7.25726752489887,0.152752643222402,0.629429091413445,0.797862649014278,0.437714293753713,0.0156653913166566,4.04339739028874,0,0,0.982711613974747,7.05953307298398,0,0.319569834169108,1.21533180590442,0.444860054533762,0.00220313989718152,2.68631436543679,0,0,0.729777485220114,5.39805668516137
"01025","Bâgé-Dommartin",22251.2,0.216080131,23020,0.21,24880,0.228,1.73059579927277,2.44417783661537,1.53182749694398,1.59559600639859,1.65380883066473,1.70463651974814,2.38493150684931,1.5125977410947,1.57671232876712,1.63014981273408,1.68238993710692,2.34202358783364,1.51647909967846,1.54438237119801,1.64329268292683,0.015530867598727,0.0700919728124468,0.561439957551892,0.304171146966012,0.018109203299728,2.54798977118527,0,0,3.7854171859539,7.30275010536798,0.0136168630493657,0.0503249652120966,0.54635215402716,0.453911454831226,0.015558979612078,2.49092768112791,0,0,3.75962986223083,7.33032196009066,0,0.0840125965272828,0.912471668670777,0.313441540070323,0.00174490021897128,2.80123734918983,0,0,3.22329936986463,7.33620742454182
"01031","Bellignat",18916.0714285714,0.2804641948,19710,0.263,20550,0.277,2.13207978209296,3.37420221109563,1.82240095660656,1.85151472779,2.02875863151287,2.054704595186,3.04951370468612,1.74987316083207,1.74270557029178,1.92897091722595,2.14078374455733,3.16681534344335,1.72749391727494,1.83318465655665,1.93144722524483,0.850367228473398,4.23357222247981,0.945956124502441,0.57584035657844,0.0141682767273542,2.63382471004502,0.0201183280815903,0,0.138616819377657,9.41246406626571,0.740878384502451,3.11963083787397,0.722949623088299,0.684926359553125,0.0152286520268784,2.55897295578708,0.0189758896101732,0,0.134174319229984,7.99573702167195,0,3.70917322068529,1.09232074686689,0.704522652402025,0,2.05607165837533,0.0173955284131075,0,0.00557406964479388,7.58505787638744
"01032","Béligneux",20826,0.2309985577,22050,0.227,23060,0.249,1.87322193441346,2.55024483458736,1.63455936489644,1.56020325070845,1.83324979114453,1.90886850152905,2.63418079096045,1.69160997732426,1.55720338983051,1.82932810201079,1.88948306595365,2.64799446749654,1.66045099739809,1.59474412171508,1.85423728813559,0.150072358526907,1.12069670313912,1.00573947875034,0.892485507928757,0.0141682767273542,6.31480511692628,0.015601953252211,0,0.131820832840438,9.6453902280914,0.129806509162426,0.490724589611845,0.896807368820956,0.519876884201995,0.0152286520268784,6.12365450128759,0.0119091094136385,0,0.123457615124925,8.31146522965025,0.0156288667041716,0.848200934867805,1.23560717745712,0.741478897487373,0,3.53858440602731,0.0106727967926149,0,0.237434955245553,6.62760803458195
"01033","Valserhône",19687,0.325059366,22360,0.312,23780,0.322,2.50285714285714,4.10257036076577,2.10169147152944,1.95203264434444,2.42845404390187,2.46039603960396,4.12079927338783,2.02906976744186,2.03088101725704,2.315977539561,2.58378746594005,4.39585211902615,2.05004205214466,2.14427412082958,2.33812949640288,0.113593247046674,0.586826582419494,0.735317514128148,0.515849741222275,0.922339042922547,2.20807233769652,0.0183812365830596,0,0.266288241215244,5.36666794323396,0.0985705304523955,0.42690256920079,0.800589020109165,0.503047712887536,0.0167320600677127,2.13705130758125,0.0140758248705167,0,0.257730329827153,4.25469935499652,0.00617553639100859,0.461699122886956,1.02265711845437,0.450536942335226,7.63825699977155,2.00537497938342,0.013034918014448,0,0.224380742337364,11.8221163595743
"01034","Belley",18818,0.2669910799,19900,0.269,21180,0.265,2.09549272328297,3.17206212219139,1.7472999072788,1.81540793825799,1.96302624806999,2.08834446919079,3.20601640838651,1.76733668341709,1.81403828623519,1.97362514029181,2.08710801393728,3.15030408340573,1.71199244570349,1.84013900955691,1.89644351464435,0.417973007550499,1.95173798905535,0.930714801370206,0.733068412764688,0.141829466260814,1.18138475352934,0,0,0.215152844376291,5.57186127490719,0.366006933442033,1.48023190846426,0.819272718266676,0.745282448286536,0.0161192094969688,1.14899861118385,0,0,0.214447308246949,4.79035913738727,0.0631730836508944,1.10179587762963,1.22771286572069,0.543281879153743,0.00512101331389344,0.762736810361682,0,0,0.138671912667394,3.84249344249793
"01043","Beynost",26233,0.2532228333,27820,0.255,28730,0.253,2.00127564579568,2.99369050737927,1.74237283828257,1.71816871888918,1.91460617230759,1.95792079207921,2.96101485148515,1.71998562185478,1.72153465346535,1.90334128878282,1.92479771537363,2.89065255731922,1.71145144448312,1.68900646678424,1.88318651857526,0.498665701235727,2.37246799499569,1.13861926550229,0.598503366938131,0.0141682767273542,2.1000327841489,0.0226204497119223,0,0.197854149112706,6.94293198837273,0.424315920292968,1.65804733252127,0.979734677649191,0.586864954369847,0.0162314361730696,1.98117109332124,0.0169857846514845,0,0.190259692302686,5.85361089128176,0,1.78445767830186,1.4212071344387,0.59960239209665,0.00507119923373228,1.49092044654988,0.014982164557548,0,0.162845139780317,5.47908615495869
"01049","La Boisse",24686,0.2245836659,25330,0.222,26780,0.233,1.88805064128304,2.6421265141319,1.59045612897999,1.66123822341857,1.76561586544948,1.86143931256713,2.61053984575835,1.60363205684959,1.62789203084833,1.75540190146932,1.88825363825364,2.73149309912171,1.62584017923824,1.68005018820577,1.78662289700451,0.241687238514185,1.12226951426091,1.02704354530663,0.42872184535061,0.0141682767273542,5.45190377984245,0.0315643456461639,0,0.223994422644676,8.54135296829297,0.197705890534398,0.750760724327166,0.879884360665331,0.799947085349206,0.0152286520268784,4.98605412884759,0.0227859547291564,0,0.206899380722013,7.85926617720174,0.169663414991098,0.925956391405073,1.28203515826548,0.552424352228772,0,3.54195104633589,0.0201106477145604,0,0.171097624944773,6.66323863588564
"01053","Bourg-en-Bresse",18249.2857142857,0.290154327,19180,0.291,20210,0.294,2.21604026478473,3.44984678243105,1.85070257152922,1.86407412811907,2.08954423592493,2.20994475138122,3.43675889328063,1.8133472367049,1.89525691699605,2.05434140578854,2.23053435114504,3.42624521072797,1.76991588322613,1.93582375478927,2.01181102362205,0.217376953887629,1.05528131232782,1.34801728738823,1.11956357264945,0.0141744811440488,0.897526168317332,0.00466458906458234,0,0.0448511124383557,4.70145547721745,0.190660759293936,0.76251288576309,1.37045285774101,0.849575813450218,0.0168324202359494,0.874898616711667,0.00362606039122934,0,0.0438972376744759,4.11245665126158,0.0515369642252196,0.691073990739177,1.58752128085289,0.938509828221888,0.00833687929236166,0.387703420103161,0.00330785051790027,0,0.0104644497569777,3.67845466370958
"01071","Cessy",39100.5555555556,0.3569235961,38750,0.351,42540,0.348,2.98666539367322,5.54619590380752,2.04237062497722,2.71556779948761,2.54008798266346,2.8872250818905,5.23509711989283,2.01703225806452,2.5954454119223,2.37640620249316,2.97727272727273,5.17703349282297,2.03479078514339,2.54425837320574,2.41720189891092,0.00437621910281197,0.0233984750453087,0.880837477448546,0.339256997887034,0.0141682767273542,0.938287076859606,0,0,0.0924133329792219,2.29273785604988,0.00382198138311746,0.0197016770710916,0.838063804199116,0.390406305539254,0.0152286520268784,0.912544808415632,0,0,0.0899015187031447,2.26966874733823,0,0.0654518069065394,1.20250200554434,0.358106458089905,0,0.446696957973972,0,0,0.173575969129179,2.24633319764393
"01072","Ceyzériat",22805.8333333333,0.2502235102,24010,0.244,25320,0.252,1.90845512418183,2.74209279736005,1.72116782986809,1.59315829042087,1.88382658774596,1.87443946188341,2.63413014608234,1.65222823823407,1.59428950863214,1.79016245487365,1.90525175961018,2.7431011826544,1.64889415481833,1.66360052562418,1.80735930735931,0.131512496441483,0.632047540156765,1.07177187388986,0.33768855523322,0.0141682767273542,2.74170132632689,0.029674366852345,0,0.244811937469701,5.20337637309762,0.113611013172659,0.456385153860949,0.97384674037035,0.403644607935606,0.0152286520268784,2.65206466643733,0.0226224388302596,0,0.219748861047625,4.85715213368166,0.0102110974623526,0.584341431063647,1.38866173412355,0.417825048957918,0,2.07216738462522,0.0200930600343288,0,0.183084201419199,4.67638395768622
"01074","Chalamont",21290,0.2388932028,22040,0.258,23720,0.232,1.8959274971299,2.71060152874709,1.57169250039142,1.72463858424726,1.72247621589674,1.8914535246413,2.85852090032154,1.61343012704174,1.77170418006431,1.73378839590444,1.83647058823529,2.73922734026746,1.5543844856661,1.76225854383358,1.72855133614627,0.027487785200019,0.128282285525325,0.994919959378477,0.368343983163445,0.0141682767273542,1.13080600985121,0,0,2.99789336297508,5.6619016628209,0.0228720045453216,0.0895200609237291,0.877379019578914,0.433013775325837,0.0156666878808552,1.04712251825009,0,0,2.74229609863575,5.2278701651405,0,0.220835924195391,1.26143822368973,0.396110149174798,0.00227943538739634,1.47457020731267,0,0,2.29741807673736,5.65265201649734
"01089","Château-Gaillard",21886.4,0.2189502425,23110,0.198,25170,0.2,1.78702751492642,2.5729630087329,1.52207154519093,1.69043499752842,1.66324934260893,1.73917995444191,2.40585774058577,1.49286023366508,1.6115760111576,1.61516853932584,1.72986036519871,2.3970398970399,1.47993643226063,1.61969111969112,1.62877131613467,0.361202184198343,1.68887155295577,0.885394805401902,0.69643777266404,0.0141712143384794,8.6459527703811,0,0,0.939815945374124,13.2318462453138,0.299362133150134,1.14877601339505,0.791153865953119,0.719582475742318,0.0152286520268784,8.0356250522419,0,0,0.878616828756999,11.8883450212664,0.0176004137282877,4.42133280924817,1.20572634513026,0.74610844362056,0,6.59131310818694,0,0,0.730189933196797,13.712271053111
"01093","Châtillon-sur-Chalaronne",20848.6666666667,0.245631103,22090,0.256,23430,0.252,1.88974593628797,2.75126989945538,1.67998752917852,1.63767281105991,1.82948550535388,1.90169067000626,2.84927314460597,1.6858306926211,1.69013006885998,1.85828343313373,1.85524030110017,2.77729885057471,1.65002134016219,1.68318965517241,1.80317164179104,0.359509175857448,1.77320199021329,1.17069298451011,0.641558415667016,0.333125076323809,1.53080909318254,0,0,0.511465271988631,6.32036200774284,0.314754770454895,1.28569205648862,1.00304327464448,0.668695449508028,0.0157445779248798,1.50289676882379,0,0,0.496224795154775,5.28705169299947,0,4.66581233837659,1.35025876328085,0.605483739433204,0.00262102123846779,0.935120483039456,0,0,0.462686594979986,8.02198294034856
"01138","Culoz",19460,0.241157183,20130,0.241,21560,0.253,2.02116118214211,2.83562359190129,1.62771497088044,1.74208853677096,1.8084443477788,1.95547703180212,2.71702838063439,1.61698956780924,1.68030050083472,1.77771709448389,1.91770084911822,2.74903474903475,1.65120593692022,1.66486486486486,1.83505154639175,0.743456985287768,3.46038715163979,0.447221748248082,0.406394724732322,0.0152094283140414,1.81794509987368,0.0491193177849976,0,0.0513293910788626,6.99106384695954,0.657345045918033,2.50447450068559,0.440483340797025,0.366955424842934,0.016532202019205,1.79002709125886,0.0383260819946136,0,0.0518933119965117,5.86603699951277,0.0195817017885746,1.03515906726403,0.692708944568923,0.36358981216625,0.00321176677610434,0.955834314187787,0.031026931512246,0,0.175076263005431,3.27618880126935
"01142","Dagneux",22912.6666666667,0.2215877857,24420,0.229,25320,0.235,1.86669746522088,2.59712547993612,1.58855779502292,1.63489517855323,1.74939647777864,1.85376827896513,2.63753387533875,1.59418509418509,1.65447154471545,1.76313405797101,1.90605546123373,2.83932346723044,1.59123222748815,1.78435517970402,1.7381363244176,0.503114084285295,2.4338613243752,0.875927586531546,0.594324223678007,0.0141725843597982,3.16560916262928,0.00957896758020193,0,0.177060641001957,7.77364857444129,0.434218939384616,1.72234208915152,0.72774862044456,0.615610536673006,0.0152286520268784,3.05372275779524,0.00729567602993982,0,0.170805840084332,6.7469731115901,0,1.62331861294792,1.1494103863675,0.592665969970539,1.15771600570589e-06,1.72627066506348,0.0067227949788997,0,0.113389111111361,5.2117786981557
"01143","Divonne-les-Bains",43324.8,0.4220721976,43030,0.41,46650,0.4,3.82592393342137,8.08598065711421,2.4400830727692,3.31381367599816,3.05836216283546,3.59273242095328,7.35306553911205,2.42481989309784,3.03241719520789,2.97604107244723,3.50532594801875,7.03541532517708,2.34212218649518,3.00386349001932,2.8966065747614,0.00531041357689877,0.0256125168289183,1.05310711994248,0.670623216072977,0.0141682767273542,1.08046084983005,0,0,0.260767793092325,3.110050186071,0.00449176536387962,0.0196567629819449,1.05461665127869,0.616228478801565,0.0159077933417087,1.01732089425962,0,0,0.246357757095737,2.97458010312314,0,0.0341988216966126,1.3392191838589,0.483791086354098,0.0034525452242363,0.845736660604881,0,0,0.20805070399559,2.91444900173431
"01157","Fareins",24723.4615384615,0.2380833187,26080,0.254,27070,0.251,1.8544064276981,2.7641152983646,1.70338607053406,1.62271803566996,1.85626046839646,1.84414225941423,2.737039350406,1.68021472392638,1.62898188632105,1.83500837520938,1.79017199017199,2.64277251184834,1.64794975988179,1.60367298578199,1.81858948226661,0.114078675681677,0.51945107711879,1.00873563608926,0.297347482635306,0.0141682767273542,1.65255297077268,0,0,0.930456631919694,4.53679075094476,0.0993242377232035,0.375020669357221,0.927691031199334,0.367123216083834,0.0157392478371818,1.60557712205671,0,0,0.918914084681895,4.30938960893938,0,0.568379737677804,1.32189895298592,0.321232920264282,0.00475092094182128,1.34358684229102,0,0,0.229015459426793,3.78886483358764
